AthleteID,EventID,MedalID
109753,108,2
130344,108,2
85,112,0
3648,112,0
10782,112,0
11281,112,0
17188,112,0
38739,112,0
39479,112,0
47033,112,0
66792,112,0
78233,112,0
90086,112,0
90100,112,0
92616,112,0
93593,112,0
100204,112,0
100215,112,0
135715,112,0
153536,112,0
3805,112,1
6336,112,1
26851,112,1
49319,112,1
56153,112,1
60481,112,1
86268,112,1
99113,112,1
102121,112,1
103538,112,1
104549,112,1
111485,112,1
117229,112,1
119462,112,1
138453,112,1
139150,112,1
156523,112,1
2789,112,2
4042,112,2
5185,112,2
5752,112,2
21203,112,2
41538,112,2
44756,112,2
65557,112,2
76730,112,2
84450,112,2
87236,112,2
114248,112,2
120971,112,2
138102,112,2
141462,112,2
144158,112,2
154236,112,2
89,116,0
8663,116,0
39396,116,0
45861,116,0
48926,116,0
96102,116,0
102774,116,0
107984,116,0
108342,116,0
119536,116,0
123473,116,0
123656,116,0
5120,116,1
6985,116,1
11830,116,1
16747,116,1
20428,116,1
20432,116,1
47076,116,1
47377,116,1
48135,116,1
112303,116,1
112818,116,1
129001,116,1
132457,116,1
19172,116,2
48214,116,2
57314,116,2
72160,116,2
74718,116,2
75233,116,2
129251,116,2
130574,116,2
135250,116,2
146952,116,2
149231,116,2
149235,116,2
95,122,0
101437,122,0
33006,122,1
33007,122,1
152455,122,2
152476,122,2
120,150,0
40299,150,0
112087,150,0
140901,150,0
15015,150,1
52552,150,1
73262,150,1
158237,150,1
14061,150,2
53843,150,2
140344,150,2
148268,150,2
121,151,0
140902,151,0
9138,151,1
74215,151,1
135552,151,2
144171,151,2
122,152,0
45208,152,0
115125,152,0
123904,152,0
46654,152,1
52933,152,1
148741,152,1
152810,152,1
9878,152,2
82036,152,2
129387,152,2
147302,152,2
123,153,0
128,153,0
33217,153,0
39243,153,1
56379,153,1
134588,153,1
112492,153,2
114903,153,2
141388,153,2
124,154,0
129,154,0
33218,154,0
58160,154,1
116395,154,1
136739,154,1
70983,154,2
116996,154,2
135203,154,2
175,198,0
113241,198,1
152034,198,2
365,376,0
1662,376,0
1684,376,0
2702,376,0
6682,376,0
6906,376,0
19312,376,0
53397,376,0
69185,376,0
69195,376,0
69740,376,0
96453,376,0
115909,376,0
4013,376,1
20113,376,1
20637,376,1
26516,376,1
32091,376,1
33928,376,1
35863,376,1
35865,376,1
37452,376,1
84889,376,1
97729,376,1
119427,376,1
144502,376,1
147214,376,1
5389,376,2
25794,376,2
77062,376,2
78526,376,2
109674,376,2
124413,376,2
127686,376,2
129688,376,2
129712,376,2
129760,376,2
129818,376,2
129873,376,2
129893,376,2
387,396,0
74532,396,1
1922,396,2
411,425,0
3384,425,1
84220,425,1
152748,425,2
415,429,0
67334,429,1
56213,429,2
432,187,0
3468,187,0
8328,187,0
21959,187,0
46055,187,0
54183,187,0
59033,187,0
69734,187,0
90468,187,0
96583,187,0
108031,187,0
131348,187,0
1193,187,1
37567,187,1
47603,187,1
63373,187,1
87287,187,1
88832,187,1
88844,187,1
130196,187,1
132200,187,1
134837,187,1
140669,187,1
158247,187,1
13541,187,2
15382,187,2
34052,187,2
42650,187,2
44833,187,2
65901,187,2
106177,187,2
117881,187,2
118122,187,2
126143,187,2
132216,187,2
151223,187,2
