TeamID,EventID
1,770
5,770
7,770
9,770
12,770
15,770
16,770
24,770
29,770
32,770
43,770
45,770
54,770
73,770
74,770
77,770
90,770
96,770
119,770
155,770
180,770
242,770
244,770
1,529
4,529
11,529
12,529
20,529
26,529
28,529
29,529
32,529
43,529
54,529
60,529
64,529
74,529
88,529
90,529
102,529
1,2812
2,2812
5,2812
6,2812
12,2812
42,2812
43,2812
47,2812
48,2812
60,2812
67,2812
69,2812
74,2812
90,2812
96,2812
103,2812
167,2812
189,2812
242,2812
294,2812
581,2812
1,538
2,538
5,538
8,538
9,538
12,538
14,538
20,538
29,538
34,538
42,538
43,538
45,538
46,538
47,538
60,538
67,538
69,538
74,538
76,538
90,538
96,538
102,538
103,538
113,538
139,538
143,538
167,538
189,538
242,538
257,538
294,538
309,538
554,538
581,538
1,1771
5,1771
6,1771
13,1771
16,1771
26,1771
29,1771
32,1771
43,1771
74,1771
84,1771
90,1771
96,1771
110,1771
120,1771
135,1771
1,4015
9,4015
12,4015
16,4015
20,4015
22,4015
28,4015
29,4015
32,4015
43,4015
45,4015
46,4015
48,4015
52,4015
74,4015
96,4015
106,4015
143,4015
242,4015
251,4015
294,4015
1,4016
9,4016
20,4016
29,4016
45,4016
48,4016
96,4016
143,4016
1,1398
12,1398
15,1398
16,1398
20,1398
23,1398
24,1398
29,1398
43,1398
70,1398
74,1398
77,1398
81,1398
143,1398
1,2652
13,2652
14,2652
15,2652
18,2652
20,2652
22,2652
23,2652
26,2652
29,2652
32,2652
52,2652
58,2652
96,2652
99,2652
106,2652
112,2652
134,2652
242,2652
1,2569
7,2569
9,2569
11,2569
12,2569
15,2569
16,2569
20,2569
21,2569
23,2569
24,2569
29,2569
32,2569
43,2569
45,2569
47,2569
58,2569
70,2569
74,2569
76,2569
90,2569
103,2569
112,2569
143,2569
193,2569
210,2569
242,2569
257,2569
1,2570
7,2570
9,2570
12,2570
20,2570
23,2570
24,2570
29,2570
32,2570
47,2570
74,2570
143,2570
1,2572
7,2572
9,2572
11,2572
12,2572
15,2572
16,2572
20,2572
21,2572
23,2572
24,2572
29,2572
32,2572
43,2572
45,2572
47,2572
58,2572
70,2572
74,2572
76,2572
90,2572
103,2572
112,2572
143,2572
193,2572
210,2572
242,2572
257,2572
1,2573
7,2573
9,2573
11,2573
12,2573
15,2573
16,2573
20,2573
21,2573
23,2573
24,2573
29,2573
32,2573
43,2573
45,2573
47,2573
58,2573
70,2573
74,2573
76,2573
90,2573
103,2573
112,2573
143,2573
193,2573
210,2573
242,2573
257,2573
